p,mon,year,
0.0,1,1951,
0.0,1,1951,
0.03,1,1951,
0.03,1,1951,
0.25,1,1951,
0.2,1,1951,
0.03,1,1951,
0.0,1,1951,
0.76,1,1951,
0.42,1,1951,
0.07,1,1951,
0.01,1,1951,
0.05,1,1951,
0.0,1,1951,
0.08,1,1951,
0.12,1,1951,
0.08,1,1951,
0.05,1,1951,
0.0,1,1951,
0.01,1,1951,
0.0,1,1951,
0.43,1,1951,
0.07,1,1951,
0.0,1,1951,
0.06,1,1951,
0.0,1,1951,
0.01,1,1951,
0.0,1,1951,
0.17,1,1951,
0.27,1,1951,
0.01,1,1951,
0.22,2,1951,
0.66,2,1951,
0.21,2,1951,
0.27,2,1951,
0.01,2,1951,
0.0,2,1951,
0.12,2,1951,
0.01,2,1951,
0.08,2,1951,
0.11,2,1951,
0.29,2,1951,
0.06,2,1951,
0.0,2,1951,
0.0,2,1951,
0.07,2,1951,
0.09,2,1951,
0.07,2,1951,
0.04,2,1951,
0.01,2,1951,
0.02,2,1951,
0.0,2,1951,
0.02,2,1951,
0.03,2,1951,
0.02,2,1951,
0.03,2,1951,
0.08,2,1951,
0.0,2,1951,
0.0,2,1951,
0.02,3,1951,
0.0,3,1951,
0.0,3,1951,
0.07,3,1951,
0.0,3,1951,
0.08,3,1951,
0.66,3,1951,
0.0,3,1951,
0.01,3,1951,
0.0,3,1951,
0.0,3,1951,
0.14,3,1951,
0.13,3,1951,
0.0,3,1951,
0.01,3,1951,
0.16,3,1951,
0.01,3,1951,
0.18,3,1951,
0.04,3,1951,
0.03,3,1951,
0.22,3,1951,
0.6,3,1951,
0.12,3,1951,
0.02,3,1951,
0.15,3,1951,
0.3,3,1951,
0.0,3,1951,
0.56,3,1951,
0.01,3,1951,
0.14,3,1951,
0.22,3,1951,
0.07,4,1951,
0.0,4,1951,
0.24,4,1951,
0.02,4,1951,
0.0,4,1951,
0.04,4,1951,
0.01,4,1951,
0.18,4,1951,
0.01,4,1951,
0.08,4,1951,
0.14,4,1951,
0.04,4,1951,
0.07,4,1951,
0.0,4,1951,
0.11,4,1951,
0.01,4,1951,
0.0,4,1951,
0.0,4,1951,
0.0,4,1951,
