p,mon,year,
0.0,1,1951,
0.13,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.29,1,1951,
0.06,1,1951,
0.04,1,1951,
0.51,1,1951,
0.04,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.0,1,1951,
0.01,1,1951,
0.0,2,1951,
0.0,2,1951,
0.0,2,1951,
0.03,2,1951,
0.02,2,1951,
0.0,2,1951,
0.0,2,1951,
0.19,2,1951,
0.08,2,1951,
0.08,2,1951,
0.01,2,1951,
0.0,2,1951,
0.5,2,1951,
0.2,2,1951,
0.0,2,1951,
0.0,2,1951,
0.0,2,1951,
0.0,2,1951,
0.0,2,1951,
0.0,2,1951,
0.01,2,1951,
0.1,2,1951,
0.17,2,1951,
0.36,2,1951,
0.58,2,1951,
0.26,2,1951,
0.51,2,1951,
0.01,2,1951,
0.02,3,1951,
0.0,3,1951,
0.0,3,1951,
0.0,3,1951,
0.46,3,1951,
0.08,3,1951,
0.0,3,1951,
0.0,3,1951,
0.0,3,1951,
0.0,3,1951,
0.34,3,1951,
0.17,3,1951,
0.0,3,1951,
0.03,3,1951,
0.0,3,1951,
0.0,3,1951,
0.0,3,1951,
0.0,3,1951,
0.02,3,1951,
0.1,3,1951,
0.2,3,1951,
0.0,3,1951,
0.0,3,1951,
0.7,3,1951,
0.05,3,1951,
0.0,3,1951,
0.74,3,1951,
0.04,3,1951,
0.0,3,1951,
0.0,3,1951,
0.42,3,1951,
0.61,4,1951,
0.95,4,1951,
0.0,4,1951,
0.0,4,1951,
0.65,4,1951,
0.28,4,1951,
0.0,4,1951,
0.0,4,1951,
0.0,4,1951,
0.3,4,1951,
0.22,4,1951,
0.0,4,1951,
0.0,4,1951,
0.32,4,1951,
0.39,4,1951,
0.33,4,1951,
0.0,4,1951,
0.33,4,1951,
0.13,4,1951,
0.1,4,1951,
0.0,4,1951,
0.17,4,1951,
0.0,4,1951,
0.0,4,1951,
1.58,4,1951,
0.4,4,1951,
0.0,4,1951,
0.17,4,1951,
0.07,4,1951,
0.1,4,1951,
0.06,5,1951,
0.0,5,1951,
0.0,5,1951,
0.0,5,1951,
0.19,5,1951,
0.13,5,1951,
0.9,5,1951,
0.34,5,1951,
0.0,5,1951,
0.0,5,1951,
0.0,5,1951,
0.0,5,1951,
0.0,5,1951,
0.14,5,1951,
0.17,5,1951,
0.0,5,1951,
0.02,5,1951,
0.01,5,1951,
0.0,5,1951,
0.0,5,1951,
0.19,5,1951,
0.0,5,1951,
0.0,5,1951,
0.0,5,1951,
0.0,5,1951,
0.09,5,1951,
0.0,5,1951,
0.0,5,1951,
0.0,5,1951,
0.02,5,1951,
0.79,5,1951,
0.0,6,1951,
0.0,6,1951,
0.02,6,1951,
0.0,6,1951,
0.0,6,1951,
0.19,6,1951,
0.1,6,1951,
0.0,6,1951,
0.0,6,1951,
0.0,6,1951,
0.0,6,1951,
0.0,6,1951,
0.0,6,1951,
1.88,6,1951,
0.41,6,1951,
0.0,6,1951,
0.0,6,1951,
0.15,6,1951,
0.0,6,1951,
0.0,6,1951,
0.0,6,1951,
0.0,6,1951,
0.0,6,1951,
0.94,6,1951,
1.53,6,1951,
0.03,6,1951,
0.04,6,1951,
0.02,6,1951,
0.0,6,1951,
0.0,6,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.01,7,1951,
0.0,7,1951,
0.06,7,1951,
0.4,7,1951,
1.54,7,1951,
0.0,7,1951,
0.0,7,1951,
0.06,7,1951,
0.52,7,1951,
1.05,7,1951,
0.28,7,1951,
0.08,7,1951,
1.77,7,1951,
1.15,7,1951,
0.02,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,7,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.41,8,1951,
0.09,8,1951,
0.0,8,1951,
0.0,8,1951,
0.09,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.96,8,1951,
2.89,8,1951,
0.45,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.0,8,1951,
0.94,8,1951,
0.0,8,1951,
0.0,8,1951,
0.02,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
0.1,9,1951,
0.11,9,1951,
0.53,9,1951,
0.93,9,1951,
0.2,9,1951,
0.0,9,1951,
0.31,9,1951,
1.97,9,1951,
0.01,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
0.01,9,1951,
0.11,9,1951,
0.0,9,1951,
0.0,9,1951,
0.0,9,1951,
1.35,9,1951,
0.1,9,1951,
0.0,9,1951,
0.0,10,1951,
0.0,10,1951,
0.0,10,1951,
0.0,10,1951,
0.0,10,1951,
0.47,10,1951,
1.23,10,1951,
0.56,10,1951,
0.0,10,1951,
0.0,10,1951,
0.0,10,1951,
0.0,10,1951,
0.39,10,1951,
0.08,10,1951,
0.01,10,1951,
0.01,10,1951,
0.0,10,1951,
0.0,10,1951,
0.01,10,1951,
0.0,10,1951,
0.0,10,1951,
