t,mon,year
44,1,1951
44,1,1951
45,1,1951
47,1,1951
49,1,1951
53,1,1951
46,1,1951
47,1,1951
45,1,1951
33,1,1951
30,1,1951
29,1,1951
24,1,1951
29,1,1951
34,1,1951
36,1,1951
37,1,1951
39,1,1951
39,1,1951
36,1,1951
26,1,1951
28,1,1951
32,1,1951
34,1,1951
36,1,1951
36,1,1951
38,1,1951
40,1,1951
42,1,1951
44,1,1951
47,1,1951
49,2,1951
45,2,1951
39,2,1951
37,2,1951
31,2,1951
33,2,1951
35,2,1951
42,2,1951
36,2,1951
35,2,1951
34,2,1951
38,2,1951
40,2,1951
38,2,1951
37,2,1951
38,2,1951
37,2,1951
43,2,1951
44,2,1951
47,2,1951
56,2,1951
49,2,1951
48,2,1951
42,2,1951
41,2,1951
44,2,1951
46,2,1951
41,2,1951
31,3,1951
30,3,1951
33,3,1951
39,3,1951
44,3,1951
41,3,1951
41,3,1951
47,3,1951
55,3,1951
56,3,1951
48,3,1951
40,3,1951
40,3,1951
43,3,1951
48,3,1951
51,3,1951
54,3,1951
49,3,1951
41,3,1951
44,3,1951
45,3,1951
44,3,1951
42,3,1951
47,3,1951
49,3,1951
53,3,1951
49,3,1951
47,3,1951
49,3,1951
47,3,1951
51,3,1951
49,4,1951
47,4,1951
49,4,1951
52,4,1951
50,4,1951
52,4,1951
52,4,1951
55,4,1951
55,4,1951
53,4,1951
53,4,1951
50,4,1951
54,4,1951
52,4,1951
54,4,1951
53,4,1951
52,4,1951
50,4,1951
51,4,1951
52,4,1951
56,4,1951
54,4,1951
55,4,1951
54,4,1951
56,4,1951
61,4,1951
63,4,1951
58,4,1951
60,4,1951
60,4,1951
58,5,1951
58,5,1951
62,5,1951
69,5,1951
61,5,1951
59,5,1951
60,5,1951
63,5,1951
62,5,1951
64,5,1951
65,5,1951
68,5,1951
70,5,1951
72,5,1951
66,5,1951
68,5,1951
63,5,1951
64,5,1951
67,5,1951
69,5,1951
66,5,1951
68,5,1951
71,5,1951
71,5,1951
75,5,1951
76,5,1951
71,5,1951
71,5,1951
73,5,1951
75,5,1951
70,5,1951
71,6,1951
74,6,1951
73,6,1951
69,6,1951
72,6,1951
69,6,1951
66,6,1951
70,6,1951
72,6,1951
73,6,1951
75,6,1951
72,6,1951
73,6,1951
68,6,1951
68,6,1951
69,6,1951
69,6,1951
73,6,1951
80,6,1951
83,6,1951
84,6,1951
72,6,1951
72,6,1951
70,6,1951
69,6,1951
71,6,1951
70,6,1951
73,6,1951
74,6,1951
75,6,1951
77,7,1951
78,7,1951
77,7,1951
75,7,1951
77,7,1951
76,7,1951
77,7,1951
73,7,1951
74,7,1951
76,7,1951
75,7,1951
77,7,1951
72,7,1951
77,7,1951
74,7,1951
71,7,1951
70,7,1951
76,7,1951
82,7,1951
83,7,1951
84,7,1951
85,7,1951
82,7,1951
81,7,1951
82,7,1951
83,7,1951
85,7,1951
86,7,1951
85,7,1951
84,7,1951
83,7,1951
83,8,1951
83,8,1951
84,8,1951
85,8,1951
85,8,1951
83,8,1951
84,8,1951
86,8,1951
81,8,1951
81,8,1951
83,8,1951
82,8,1951
81,8,1951
82,8,1951
82,8,1951
83,8,1951
84,8,1951
83,8,1951
80,8,1951
79,8,1951
78,8,1951
75,8,1951
79,8,1951
81,8,1951
82,8,1951
83,8,1951
83,8,1951
83,8,1951
79,8,1951
81,8,1951
81,8,1951
78,9,1951
79,9,1951
76,9,1951
82,9,1951
77,9,1951
77,9,1951
81,9,1951
76,9,1951
71,9,1951
68,9,1951
69,9,1951
72,9,1951
68,9,1951
70,9,1951
70,9,1951
69,9,1951
71,9,1951
72,9,1951
70,9,1951
69,9,1951
70,9,1951
68,9,1951
70,9,1951
69,9,1951
70,9,1951
72,9,1951
72,9,1951
72,9,1951
69,9,1951
71,9,1951
68,10,1951
68,10,1951
69,10,1951
70,10,1951
71,10,1951
67,10,1951
68,10,1951
70,10,1951
71,10,1951
68,10,1951
70,10,1951
72,10,1951
71,10,1951
71,10,1951
67,10,1951
69,10,1951
70,10,1951
72,10,1951
76,10,1951
72,10,1951
65,10,1951
61,10,1951
56,10,1951
59,10,1951
61,10,1951
61,10,1951
58,10,1951
61,10,1951
58,10,1951
60,10,1951
59,10,1951
58,11,1951
53,11,1951
55,11,1951
63,11,1951
65,11,1951
61,11,1951
52,11,1951
50,11,1951
52,11,1951
59,11,1951
63,11,1951
61,11,1951
60,11,1951
64,11,1951
62,11,1951
55,11,1951
57,11,1951
57,11,1951
56,11,1951
53,11,1951
59,11,1951
55,11,1951
38,11,1951
36,11,1951
41,11,1951
39,11,1951
45,11,1951
50,11,1951
49,11,1951
49,11,1951
47,12,1951
48,12,1951
53,12,1951
46,12,1951
41,12,1951
42,12,1951
43,12,1951
39,12,1951
45,12,1951
46,12,1951
48,12,1951
48,12,1951
46,12,1951
40,12,1951
33,12,1951
36,12,1951
42,12,1951
52,12,1951
51,12,1951
53,12,1951
55,12,1951
56,12,1951
51,12,1951
52,12,1951
57,12,1951
44,12,1951
